ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
38,Indrans Sidhu,Female,Jaipur,Rajasthan,294952,Joint,PAN,IWIUM6927E,Residential,5,25-05-2024,14-06-2024,14-07-2024,Pending,8177,Indrans Kalla,KYC failed
39,Abram Singhal,Male,Jaipur,Rajasthan,120534,Individual,Voter_Id,VOT153898,Commercial,5,04-10-2024,03-11-2024,08-12-2024,Pending,4454,Heer Kara,Documents verification in progress
40,Arhaan Tripathi,Female,Bangalore,Karnataka,715341,Joint,Passport,P6862302,Commercial,23,04-03-2024,,28-04-2024,Connection Released,5718,Pihu Sinha,Documents verification in progress
41,Nayantara Sami,Female,Mumbai,Maharashtra,25649,Joint,Passport,P2150828,Commercial,29,05-04-2024,25-04-2024,28-06-2024,Connection Released,9509,Jivika Kothari,Installation completed
42,Prerak Sharaf,Female,Ahmedabad,Gujarat,475221,Individual,Aadhar,4.09E+11,Residential,43,29-01-2025,,19-04-2025,Rejected,5443,Hrishita Bora,Installation pending
43,Tarini Venkatesh,Male,Jaipur,Rajasthan,370205,Joint,Passport,P4320402,Commercial,30,21-02-2025,09-04-2025,19-04-2025,Approved,6162,Mohanlal Bose,Documents verification in progress
44,Ritvik Kohli,Female,Lucknow,Uttar Pradesh,129502,Individual,Voter_Id,VOT728271,Residential,22,30-01-2024,28-03-2024,23-03-2024,Rejected,6242,Fateh Dass,Installation pending
45,Yasmin Ghose,Female,Pune,Maharashtra,496930,Individual,PAN,tOYKA5363q,Commercial,24,30-06-2025,19-07-2025,08-09-2025,Rejected,8119,Zara Amble,Documents verification in progress
46,Stuvan Badami,Female,Hyderabad,Telangana,49251,Joint,Voter_Id,VOT492516,Commercial,12,13-02-2024,14-03-2024,23-04-2024,Approved,1520,Nitara Deshpande,Installation completed
47,Vihaan Bahl,Female,Pune,Maharashtra,512101,Joint,Passport,P9868496,Residential,9,16-05-2024,19-06-2024,03-07-2024,Approved,5142,Alia Bahri,KYC failed
48,Hazel Rajagopalan,Female,Ahmedabad,Gujarat,420670,Individual,PAN,TLPGQ9833z,Residential,38,12-04-2024,16-04-2024,28-06-2024,Connection Released,2926,Anaya Dara,Installation pending
49,Hazel Kuruvilla,Female,Hyderabad,Telangana,696380,Individual,Passport,P4878260,Residential,24,29-10-2024,07-12-2024,12-12-2024,Connection Released,7525,Armaan Chatterjee,Documents verification in progress
50,Adah Date,Male,Mumbai,Maharashtra,380696,Individual,Passport,P3199494,Residential,16,16-08-2024,16-09-2024,15-09-2024,Pending,3291,Neelofar Dora,Installation completed
51,Abram Grover,Male,Bangalore,Karnataka,359848,Joint,PAN,HbLRX7157L,Residential,48,19-02-2025,15-04-2025,21-04-2025,Connection Released,8996,Indrans Gera,Documents verification in progress
52,Saanvi Mane,Female,Bangalore,Karnataka,980060,Individual,Aadhar,3.11E+11,Residential,3,29-07-2024,14-09-2024,04-10-2024,Pending,6174,Vanya Bhargava,Installation pending
53,Indrans Das,Female,Hyderabad,Telangana,865154,Joint,Aadhar,8.73E+11,Commercial,19,14-11-2024,,10-01-2025,Connection Released,5888,Saanvi Ghosh,Installation pending
54,Armaan Ravi,Female,Ahmedabad,Gujarat,777483,Individual,Voter_Id,VOT468392,Residential,25,31-12-2024,01-01-2025,15-02-2025,Approved,2266,Nirvi Kulkarni,KYC failed
55,Riaan Sethi,Female,Hyderabad,Telangana,465106,Individual,Passport,P4004145,Commercial,23,09-03-2025,06-04-2025,09-03-2025,Pending,2968,Vihaan Magar,Documents verification in progress
56,Kiara Shere,Female,Delhi,Delhi,305409,Individual,Voter_Id,VOT167303,Residential,15,25-04-2024,04-05-2024,08-07-2024,Pending,4296,Nitya Wali,Installation completed
57,Advika Bala,Female,Mumbai,Maharashtra,711415,Joint,Voter_Id,VOT326679,Residential,13,24-04-2025,12-05-2025,15-05-2025,Pending,7439,Alisha Bala,KYC failed
58,Kiaan Bassi,Female,Mumbai,Maharashtra,156555,Individual,PAN,yGXZc9977u,Commercial,9,15-01-2025,02-02-2025,04-02-2025,Approved,5963,Ayesha Kibe,Installation pending
59,Pihu Wadhwa,Female,Ahmedabad,Gujarat,156118,Individual,Voter_Id,VOT110170,Commercial,41,10-09-2024,30-10-2024,22-10-2024,Pending,5946,Alisha Anne,Installation pending
60,Nirvaan Lalla,Female,Jaipur,Rajasthan,756893,Individual,Voter_Id,VOT525783,Residential,34,29-09-2024,31-10-2024,04-12-2024,Connection Released,3207,Anya Khare,Installation pending
61,Faiyaz Bail,Male,Hyderabad,Telangana,171600,Joint,Passport,P1988626,Commercial,13,19-03-2024,31-03-2024,11-04-2024,Pending,9486,Zain Andra,Installation completed
62,Parinaaz Goswami,Female,Chennai,Tamil Nadu,391237,Joint,PAN,Ylzqy9672k,Commercial,20,04-01-2025,09-02-2025,18-01-2025,Rejected,9788,Biju Sule,Documents verification in progress
63,Jiya Sekhon,Female,Bangalore,Karnataka,797139,Joint,PAN,RcddP4860o,Residential,3,07-03-2024,12-03-2024,23-05-2024,Connection Released,3418,Hridaan Yadav,Installation completed
64,Shray Sekhon,Female,Kolkata,West Bengal,557988,Joint,Aadhar,7.50E+11,Commercial,26,05-08-2024,14-09-2024,03-09-2024,Approved,5566,Bhavin Sundaram,Installation pending
65,Rania Anand,Female,Bangalore,Karnataka,593308,Joint,Aadhar,6.56E+11,Commercial,14,09-02-2024,21-02-2024,05-05-2024,Approved,4421,Renee Tara,Installation completed
66,Oorja Tella,Male,Hyderabad,Telangana,594980,Individual,Voter_Id,VOT731781,Residential,10,24-01-2025,27-02-2025,14-03-2025,Pending,8783,Zoya Sandal,Installation pending
67,Vivaan Kara,Female,Chennai,Tamil Nadu,539492,Individual,Passport,P1629116,Residential,20,12-02-2025,16-03-2025,03-05-2025,Rejected,9273,Ela Shetty,Installation pending
68,Ela Tank,Female,Jaipur,Rajasthan,422839,Joint,Voter_Id,VOT888863,Residential,43,15-06-2024,23-07-2024,27-08-2024,Pending,2814,Sana Goyal,Documents verification in progress
69,Anay Rajagopalan,Female,Kolkata,West Bengal,882295,Individual,Aadhar,4.30E+11,Commercial,31,28-07-2024,24-08-2024,13-10-2024,Rejected,8476,Kashvi Kalita,Installation pending
70,Heer Agarwal,Male,Jaipur,Rajasthan,250436,Individual,Passport,P5181033,Residential,18,01-06-2025,26-06-2025,13-07-2025,Pending,2463,Alisha Mangal,Installation pending
71,Dhanuk Bhagat,Male,Bangalore,Karnataka,667951,Individual,PAN,MBrHw0451b,Commercial,5,19-01-2024,17-03-2024,11-03-2024,Approved,5468,Divyansh Bhakta,Installation completed
72,Nirvaan Choudhry,Male,Lucknow,Uttar Pradesh,463665,Joint,PAN,xXomg3288r,Commercial,23,12-12-2024,07-01-2025,01-03-2025,Connection Released,1639,Jiya Raja,Installation pending
73,Emir Kota,Female,Bangalore,Karnataka,639901,Joint,Aadhar,3.93E+11,Residential,11,22-08-2024,,10-11-2024,Approved,3579,Kismat Kale,KYC failed
74,Vaibhav Singhal,Male,Jaipur,Rajasthan,969275,Individual,PAN,SlEpT3210B,Commercial,6,09-12-2024,22-01-2025,07-03-2025,Approved,6252,Miraan Bhatti,Installation pending
75,Samarth Iyengar,Female,Hyderabad,Telangana,271453,Joint,Passport,P2195289,Residential,10,02-05-2024,,20-06-2024,Pending,3685,Mannat Salvi,Installation completed
76,Ritvik Sastry,Male,Ahmedabad,Gujarat,684611,Joint,PAN,ScRSb8961q,Residential,14,20-08-2024,24-08-2024,13-10-2024,Pending,1880,Romil Saini,Installation completed
77,Lakshay Deshpande,Male,Jaipur,Rajasthan,904887,Individual,Passport,P4777581,Commercial,11,04-08-2024,23-09-2024,13-08-2024,Connection Released,9688,Azad Dhar,Installation completed
78,Himmat Joshi,Male,Ahmedabad,Gujarat,133901,Joint,Voter_Id,VOT233523,Residential,3,30-09-2024,,16-11-2024,Rejected,7991,Emir Mangat,Installation pending
79,Manjari Wadhwa,Female,Chennai,Tamil Nadu,75353,Joint,PAN,adElw2168e,Commercial,3,29-05-2024,18-06-2024,20-06-2024,Connection Released,7822,Lakshay Bhalla,KYC failed
80,Ivan Chowdhury,Male,Delhi,Delhi,761199,Individual,PAN,Hqbyq2623l,Commercial,34,17-01-2025,02-03-2025,20-02-2025,Rejected,7085,Ryan Sahota,Installation completed
81,Chirag Dugar,Female,Chennai,Tamil Nadu,466473,Individual,Passport,P2049134,Residential,30,08-04-2024,25-05-2024,30-04-2024,Rejected,8558,Indrans Bahl,Installation completed
82,Nayantara Hans,Male,Mumbai,Maharashtra,541527,Joint,PAN,rjTWl2984e,Commercial,23,28-09-2024,17-10-2024,25-12-2024,Pending,5309,Mannat Gola,KYC failed
83,Ehsaan Baria,Female,Kolkata,West Bengal,651307,Joint,Aadhar,1.20E+11,Residential,43,18-05-2025,15-07-2025,03-07-2025,Pending,1895,Zeeshan Arya,Documents verification in progress
84,Hridaan Chada,Male,Lucknow,Uttar Pradesh,316647,Individual,PAN,WssyD3206V,Residential,18,27-03-2025,,31-05-2025,Approved,9491,Lakshit Sarkar,Installation completed
85,Rasha Agrawal,Male,Kolkata,West Bengal,36150,Joint,Voter_Id,VOT509354,Residential,37,07-05-2024,09-06-2024,29-07-2024,Approved,6730,Kabir Dixit,KYC failed
86,Shaan Thakkar,Male,Hyderabad,Telangana,273209,Joint,Passport,P2627179,Commercial,35,22-02-2025,11-03-2025,14-05-2025,Rejected,4430,Keya Zacharia,Installation completed
87,Ivan Bail,Female,Bangalore,Karnataka,964964,Individual,Voter_Id,VOT834003,Commercial,20,03-04-2025,16-04-2025,07-05-2025,Connection Released,3546,Kiaan Bawa,Installation completed
88,Anaya Iyer,Female,Pune,Maharashtra,38678,Joint,PAN,bFyqA5847V,Residential,22,22-06-2024,02-07-2024,08-08-2024,Connection Released,3680,Aaryahi Dugal,KYC failed
89,Heer Chana,Female,Hyderabad,Telangana,26922,Individual,PAN,RJsmo4997a,Commercial,22,28-06-2025,01-07-2025,24-07-2025,Pending,1378,Seher Atwal,Documents verification in progress
90,Ishaan Dasgupta,Female,Mumbai,Maharashtra,744833,Joint,Voter_Id,VOT742651,Commercial,2,21-02-2025,,15-04-2025,Pending,5045,Advik Sangha,Installation pending
91,Hrishita Doshi,Male,Chennai,Tamil Nadu,992630,Joint,PAN,FYYIb2481U,Commercial,22,08-04-2024,24-05-2024,28-06-2024,Connection Released,5216,Ehsaan Garde,Installation pending
92,Seher Varghese,Female,Chennai,Tamil Nadu,464289,Joint,Voter_Id,VOT939401,Residential,8,11-02-2025,13-02-2025,31-03-2025,Approved,9323,Adah Ramesh,Installation completed
93,Bhavin Dada,Male,Hyderabad,Telangana,946915,Individual,Voter_Id,VOT217399,Residential,31,31-05-2024,23-07-2024,23-07-2024,Rejected,2408,Amani Jha,Installation pending
94,Adah Hora,Male,Jaipur,Rajasthan,607457,Joint,Voter_Id,VOT788965,Commercial,36,20-04-2024,24-05-2024,23-04-2024,Connection Released,4241,Anay Chahal,Installation pending
95,Sana Krish,Male,Pune,Maharashtra,462172,Individual,Voter_Id,VOT170041,Commercial,10,12-04-2024,21-04-2024,14-05-2024,Connection Released,1569,Hunar Khatri,KYC failed
96,Shalv Banerjee,Male,Bangalore,Karnataka,208155,Joint,Voter_Id,VOT754497,Residential,11,18-05-2024,07-07-2024,27-07-2024,Approved,1047,Biju Vala,Documents verification in progress
97,Prerak Shah,Male,Kolkata,West Bengal,765729,Joint,Aadhar,6.33E+11,Residential,23,23-11-2024,07-12-2024,18-02-2025,Rejected,9866,Neysa Seshadri,KYC failed
98,Nayantara Agarwal,Female,Jaipur,Rajasthan,60734,Joint,Voter_Id,VOT939235,Commercial,23,03-06-2024,12-06-2024,28-08-2024,Rejected,6677,Aarna Kunda,Documents verification in progress
99,Romil Kohli,Female,Jaipur,Rajasthan,803290,Joint,Voter_Id,VOT337917,Residential,22,17-12-2024,13-02-2025,19-02-2025,Connection Released,4648,Hunar Sharaf,Documents verification in progress
100,Tejas Batra,Male,Chennai,Tamil Nadu,973332,Individual,Aadhar,1.19E+11,Commercial,23,30-11-2024,02-01-2025,20-01-2025,Approved,3671,Hridaan Dixit,KYC failed
101,Baiju Cheema,Female,Delhi,Delhi,537801,Joint,Voter_Id,VOT719655,Residential,34,06-08-2024,20-08-2024,01-11-2024,Approved,2400,Madhup Subramanian,Documents verification in progress
102,Onkar Lad,Female,Chennai,Tamil Nadu,291054,Joint,PAN,YQjbD3638J,Commercial,16,02-10-2024,10-10-2024,20-12-2024,Connection Released,8447,Alisha Bal,Installation completed
103,Abram Varty,Male,Kolkata,West Bengal,349505,Joint,Aadhar,5.15E+11,Residential,13,02-09-2024,10-10-2024,30-11-2024,Approved,9485,Zara Apte,Documents verification in progress
104,Madhup Chacko,Male,Jaipur,Rajasthan,696284,Individual,Voter_Id,VOT301864,Commercial,39,26-01-2025,26-03-2025,24-02-2025,Approved,5619,Rasha Keer,Documents verification in progress
105,Bhavin Tandon,Male,Delhi,Delhi,699166,Joint,Voter_Id,VOT353907,Commercial,31,16-05-2025,22-05-2025,16-05-2025,Rejected,9615,Dharmajan Ravel,Documents verification in progress
106,Manjari Kata,Male,Chennai,Tamil Nadu,5240,Individual,PAN,pWFTw3596a,Commercial,50,09-03-2024,14-03-2024,01-06-2024,Connection Released,2476,Miraan Mann,Documents verification in progress
107,Tanya Seshadri,Male,Ahmedabad,Gujarat,445072,Individual,Aadhar,56774139880,Commercial,36,11-03-2025,01-05-2025,28-05-2025,Connection Released,7987,Zara Salvi,Documents verification in progress
108,Priyansh Sachar,Male,Delhi,Delhi,724667,Joint,Voter_Id,VOT119659,Commercial,49,14-01-2025,27-01-2025,27-03-2025,Connection Released,8467,Rasha Bajwa,Documents verification in progress
109,Zeeshan Chakrabarti,Female,Mumbai,Maharashtra,997445,Individual,Passport,P1844081,Residential,31,02-03-2025,08-04-2025,09-04-2025,Rejected,2874,Jivika Contractor,Documents verification in progress
110,Samarth Mand,Female,Pune,Maharashtra,419845,Individual,Aadhar,1.83E+11,Commercial,41,30-06-2025,08-07-2025,12-07-2025,Pending,7537,Armaan Krishna,Installation completed
111,Pranay Hora,Male,Bangalore,Karnataka,311439,Joint,PAN,uLUVl4450k,Residential,36,14-10-2024,21-11-2024,12-01-2025,Pending,2434,Aarav Kumar,Installation pending
112,Dhanush Kulkarni,Male,Pune,Maharashtra,526732,Joint,Aadhar,1.95E+11,Commercial,26,09-01-2025,06-03-2025,09-02-2025,Pending,5517,Kiaan Chawla,Installation completed
113,Ishaan Sarraf,Female,Delhi,Delhi,283042,Individual,PAN,gqrqT5933B,Residential,1,17-05-2024,06-07-2024,17-05-2024,Rejected,2641,Veer Sami,Documents verification in progress
114,Inaaya  Chokshi,Male,Hyderabad,Telangana,645591,Individual,PAN,rxSul8196K,Commercial,21,27-10-2024,05-11-2024,12-12-2024,Pending,3572,Anaya Biswas,Installation pending
115,Arnav Bhargava,Female,Jaipur,Rajasthan,690085,Joint,Aadhar,23069826899,Residential,29,19-07-2024,13-08-2024,01-09-2024,Pending,2263,Ranbir Subramaniam,KYC failed
116,Rania Sandal,Male,Delhi,Delhi,790434,Individual,Passport,P3493879,Commercial,35,16-04-2024,07-05-2024,20-04-2024,Pending,1924,Mahika Kapoor,KYC failed
117,Sumer Uppal,Male,Hyderabad,Telangana,659159,Joint,PAN,ZBXZz1631f,Commercial,28,14-01-2024,16-01-2024,26-01-2024,Pending,6688,Diya Sami,Installation pending
118,Azad Varughese,Male,Bangalore,Karnataka,547533,Individual,Aadhar,9.86E+11,Commercial,18,05-05-2024,13-06-2024,25-05-2024,Pending,7037,Ivana Lad,Documents verification in progress
119,Vardaniya Bhattacharyya,Female,Bangalore,Karnataka,299856,Individual,Passport,P2593572,Residential,8,14-07-2024,04-08-2024,05-09-2024,Connection Released,1325,Abram Kata,Documents verification in progress
120,Vidur Shetty,Female,Kolkata,West Bengal,406664,Individual,Passport,P6436278,Commercial,20,05-06-2025,20-07-2025,05-07-2025,Rejected,1257,Madhup Ganguly,KYC failed
121,Samarth Kannan,Male,Chennai,Tamil Nadu,97752,Joint,PAN,NcWLg5895J,Residential,18,26-04-2024,,14-05-2024,Approved,6329,Badal Manne,KYC failed
122,Jayant Sibal,Male,Hyderabad,Telangana,395814,Individual,Voter_Id,VOT685594,Residential,30,18-07-2024,30-08-2024,28-08-2024,Rejected,9384,Yasmin Gopal,KYC failed
123,Nirvaan Kanda,Male,Jaipur,Rajasthan,608674,Joint,PAN,HlUYE1005F,Commercial,2,19-05-2024,25-06-2024,01-06-2024,Rejected,5444,Keya Kade,Installation pending
124,Kashvi Sinha,Female,Bangalore,Karnataka,854662,Individual,PAN,IPJYK5079u,Residential,3,03-02-2024,,24-03-2024,Rejected,3815,Mohanlal Rana,Installation pending
125,Hunar Dhar,Male,Ahmedabad,Gujarat,408875,Joint,PAN,YVKvc1852x,Residential,38,09-05-2024,02-07-2024,05-08-2024,Rejected,8308,Kiaan Sachar,Documents verification in progress
126,Hrishita Rajan,Male,Jaipur,Rajasthan,221195,Joint,Aadhar,7.04E+11,Commercial,34,20-03-2025,10-04-2025,27-05-2025,Connection Released,3778,Vedika Kara,KYC failed
127,Keya Andra,Male,Mumbai,Maharashtra,667894,Joint,Passport,P5378867,Residential,11,23-09-2024,15-11-2024,06-12-2024,Approved,5815,Hazel Basu,Documents verification in progress
128,Shayak Doctor,Male,Kolkata,West Bengal,110346,Joint,Voter_Id,VOT127921,Commercial,8,28-10-2024,06-12-2024,09-01-2025,Pending,4334,Nitara Ramaswamy,Installation pending
129,Nishith Arora,Male,Lucknow,Uttar Pradesh,812339,Joint,Voter_Id,VOT899078,Commercial,30,31-12-2024,09-02-2025,31-03-2025,Rejected,1292,Damini Keer,Documents verification in progress
130,Divyansh Dhawan,Female,Jaipur,Rajasthan,239924,Individual,Aadhar,7.45E+11,Residential,19,17-03-2024,27-04-2024,28-04-2024,Pending,6646,Pari Bhatt,Documents verification in progress
131,Anahi Borde,Female,Pune,Maharashtra,803040,Joint,PAN,QImCP8621A,Commercial,18,20-06-2024,17-08-2024,30-08-2024,Connection Released,1541,Yakshit Bahri,KYC failed
132,Dharmajan Dhingra,Female,Mumbai,Maharashtra,71935,Joint,PAN,UcmrX2228V,Commercial,47,12-01-2025,28-02-2025,12-03-2025,Connection Released,2317,Kimaya Anne,Documents verification in progress
133,Madhav Tiwari,Female,Lucknow,Uttar Pradesh,325014,Joint,Aadhar,5.30E+11,Commercial,23,07-10-2024,03-11-2024,13-12-2024,Connection Released,4704,Yashvi Sridhar,Documents verification in progress
134,Seher Wagle,Male,Ahmedabad,Gujarat,888873,Joint,Voter_Id,VOT478187,Residential,17,29-04-2025,30-05-2025,24-07-2025,Rejected,5079,Rasha Wable,Installation pending
135,Priyansh Arora,Male,Pune,Maharashtra,769283,Individual,Voter_Id,VOT926005,Residential,42,06-02-2024,14-02-2024,18-02-2024,Rejected,7179,Indrans Anne,Installation completed
136,Nehmat Hora,Male,Bangalore,Karnataka,578914,Joint,PAN,OgyWP7590E,Residential,22,12-06-2024,22-07-2024,30-06-2024,Approved,8929,Alisha Keer,Installation completed
137,Mehul Anne,Female,Pune,Maharashtra,894883,Joint,Voter_Id,VOT132032,Residential,18,16-01-2024,,09-02-2024,Approved,4188,Raunak Dubey,Installation completed
138,Kimaya Solanki,Female,Hyderabad,Telangana,665271,Individual,PAN,SNDEy1327y,Residential,33,19-05-2024,03-07-2024,22-07-2024,Pending,7227,Aayush Wable,Installation pending
139,Advika Varty,Male,Mumbai,Maharashtra,513497,Individual,Aadhar,2.43E+11,Residential,47,04-06-2024,19-07-2024,31-08-2024,Connection Released,6000,Kiara Raja,KYC failed
140,Tushar Tailor,Male,Kolkata,West Bengal,262020,Joint,Passport,P8161346,Residential,14,06-06-2024,02-08-2024,14-07-2024,Connection Released,5838,Neelofar Kaur,Installation pending
141,Dhanuk Gola,Male,Jaipur,Rajasthan,969994,Joint,Passport,P3754058,Commercial,47,15-02-2025,07-04-2025,05-04-2025,Rejected,9478,Vritika Gade,Installation pending
142,Renee Comar,Male,Mumbai,Maharashtra,992274,Individual,Passport,P7348997,Residential,21,29-10-2024,22-11-2024,11-12-2024,Pending,2690,Taran Lala,KYC failed
143,Oorja Sethi,Female,Mumbai,Maharashtra,889662,Joint,Voter_Id,VOT511136,Commercial,50,06-05-2024,09-05-2024,17-05-2024,Connection Released,2115,Ela Swaminathan,KYC failed
